NUMER FABRYCZNY;MAC ADRES
350013217;cc:9f:35:00:5d:a9
350013217;cc:9f:35:00:5d:aa
350013216;cc:9f:35:00:5d:ad
350013216;cc:9f:35:00:5d:ae
350013218;cc:9f:35:00:5d:b1
350013218;cc:9f:35:00:5d:b2
350013219;cc:9f:35:00:5d:b5
350013219;cc:9f:35:00:5d:b6
350013220;cc:9f:35:00:5d:b9
350013220;cc:9f:35:00:5d:ba
350013221;cc:9f:35:00:5d:bd
350013221;cc:9f:35:00:5d:be
350013222;cc:9f:35:00:5d:c1
350013222;cc:9f:35:00:5d:c2
350013223;cc:9f:35:00:5d:d3
350013223;cc:9f:35:00:5d:d4
350013224;cc:9f:35:00:5d:d7
350013224;cc:9f:35:00:5d:d8
350013225;cc:9f:35:00:5d:df
350013225;cc:9f:35:00:5d:e0
350013226;cc:9f:35:00:5d:db
350013226;cc:9f:35:00:5d:dc
350013227;cc:9f:35:00:5d:e3
350013227;cc:9f:35:00:5d:e4
350013228;cc:9f:35:00:5d:e7
350013228;cc:9f:35:00:5d:e8
350013229;cc:9f:35:00:5d:eb
350013229;cc:9f:35:00:5d:ec
350013230;cc:9f:35:00:5d:fc
350013230;cc:9f:35:00:5d:fd
350013231;cc:9f:35:00:5e:00
350013231;cc:9f:35:00:5e:01
350013232;cc:9f:35:00:5e:04
350013232;cc:9f:35:00:5e:05
350013233;cc:9f:35:00:5e:08
350013233;cc:9f:35:00:5e:09
350013234;cc:9f:35:00:5e:0c
350013234;cc:9f:35:00:5e:0d
350013235;cc:9f:35:00:5e:10
350013235;cc:9f:35:00:5e:11
350013236;cc:9f:35:00:5e:14
350013236;cc:9f:35:00:5e:15
